,model_name,init_time,readme_time,init_readme_diff
18827,google/bert_uncased_L-4_H-768_A-12,2020-03-16,Fri Dec 11 22:42:07 2020 +0100,269 days 22:50:59
29525,google/bert_uncased_L-10_H-768_A-12,2020-03-16,Fri Dec 11 22:41:30 2020 +0100,269 days 22:46:22
24121,google/bert_uncased_L-8_H-128_A-2,2020-03-16,Fri Dec 11 22:42:23 2020 +0100,269 days 22:49:42
25469,google/bert_uncased_L-2_H-256_A-4,2020-03-16,Fri Dec 11 22:41:49 2020 +0100,269 days 22:57:13
18804,iuliaturc/bert_uncased_L-2_H-128_A-2,2020-03-16,Fri Dec 11 22:46:09 2020 +0100,270 days 01:49:50
17403,google/bert_uncased_L-6_H-512_A-8,2020-03-16,Fri Dec 11 22:42:17 2020 +0100,269 days 22:50:20
29132,google/bert_uncased_L-8_H-256_A-4,2020-03-16,Fri Dec 11 22:42:27 2020 +0100,269 days 22:49:32
6275,google/bert_uncased_L-6_H-128_A-2,2020-03-16,Fri Dec 11 22:42:10 2020 +0100,269 days 22:50:44
11390,google/bert_uncased_L-2_H-128_A-2,2020-03-16,Fri Dec 11 22:41:46 2020 +0100,269 days 23:50:53
3612,google/bert_uncased_L-10_H-512_A-8,2020-03-16,Fri Dec 11 22:41:27 2020 +0100,269 days 22:46:53
20932,jannesg/bertsson,2020-03-16,Fri Dec 11 22:46:20 2020 +0100,270 days 04:09:14
12644,google/bert_uncased_L-4_H-128_A-2,2020-03-16,Fri Dec 11 22:41:58 2020 +0100,269 days 22:51:47
20532,google/bert_uncased_L-12_H-128_A-2,2020-03-16,Fri Dec 11 22:41:33 2020 +0100,269 days 22:46:03
1650,google/bert_uncased_L-10_H-128_A-2,2020-03-16,Fri Dec 11 22:41:21 2020 +0100,269 days 22:47:22
24139,google/bert_uncased_L-4_H-256_A-4,2020-03-16,Fri Dec 11 22:42:01 2020 +0100,269 days 22:51:31
28723,mrm8488/CodeBERTaPy,2020-03-17,Fri Dec 11 22:51:43 2020 +0100,269 days 09:18:48
16429,mrm8488/bert-tiny-finetuned-squadv2,2020-03-18,Fri Dec 11 22:53:24 2020 +0100,268 days 10:20:09
15615,mrm8488/bert-mini-finetuned-squadv2,2020-03-18,Fri Dec 11 22:52:48 2020 +0100,268 days 08:40:30
8529,mrm8488/spanbert-finetuned-squadv1,2020-03-18,Fri Dec 11 22:55:07 2020 +0100,268 days 08:30:55
13828,facebook/bart-large-xsum,2020-03-18,Thu Aug 20 16:30:31 2020 +0000,155 days 10:39:13
20540,mrm8488/bert-small-finetuned-squadv2,2020-03-18,Fri Dec 11 22:53:05 2020 +0100,268 days 05:20:56
5428,deepset/sentence_bert,2020-03-18,Fri Dec 11 22:38:21 2020 +0100,268 days 07:42:37
19186,dslim/bert-base-NER,2020-03-21,Fri Dec 11 22:38:40 2020 +0100,265 days 20:45:14
4578,mrm8488/bert-tiny-5-finetuned-squadv2,2020-03-21,Tue Jan 18 20:17:54 2022 +0000,668 days 05:24:50
28452,mrm8488/bert-medium-finetuned-squadv2,2020-03-21,Fri Dec 11 22:52:45 2020 +0100,265 days 00:24:36
