Model,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
naver/efficient-splade-V-large-query,,,,,,,,,,,,,,,2,5,353,123,13,8,16,2,154,223,259,18
HomerChatbot/DialoGPT-small-homersimpsonbot,,,,,,,,,53,86,75,89,92,97,66,81,118,86,61,51,64,67,116,249,109,19
yanekyuk/bert-keyword-extractor,,,,,,,,,,19,9,6,58,0,31,73,132,229,112,90,59,39,60,76,110,5
rizkyds/bert-phb,,,,,,,,,,,,,,,,,,,,36,720,440,375,1187,416,2
STAM/agricore,,,,,,,,,,23,6,37,83,59,64,93,80,116,85,6,69,75,39,63,41,11
ElKulako/cryptobert,,,,,,,,,,,,,6,16,53,28,74,26,50,34,59,117,24,229,63,11
gloomyworm/DialoGPT-medium-ortho,,,,,,,,,,,227,181,95,0,41,119,24,72,63,50,66,28,107,65,158,14
cffl/bert-base-styleclassification-subjective-neutral,,,,,,,,,,,,,,5,0,501,78,284,21,22,90,17,27,39,15,17
t8oo/DialoGPT-small-zenigata,,,,,,,,,279,57,79,95,70,0,35,57,56,33,38,57,55,12,108,233,153,16
its5Q/rugpt3large_mailqa,,,,,,,,,,,,,,,210,172,65,75,52,20,27,12,25,73,50,5
vitouphy/wav2vec2-xls-r-300m-phoneme,,,,,,43,24,86,30,5,23,40,24,0,21,6,55,81,28,20,32,42,58,74,53,38
ZeyadAhmed/AraElectra-Arabic-SQuADv2-QA,,,,,,,,,,,,,,,14,11,21,153,15,58,145,155,62,94,75,10
has-abi/distilBERT-finetuned-resumes-sections,,,,,,,,,,,,,,,,,74,29,42,145,63,104,60,139,90,30
nickmuchi/yolos-small-rego-plates-detection,,,,,,,,,,,,,,,36,18,21,14,113,155,131,39,86,153,32,10
facebook/levit-128S,,,,,,,,,,36,33,35,98,28,66,77,51,95,64,84,49,12,36,46,21,4
mmillet/distilrubert-tiny-2ndfinetune-epru,,,,,,,,,,,,29,8,0,73,77,104,53,64,80,37,3,11,54,,
