Model,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z
allegro/herbert-base-cased,,1960,2761,1443,2387,653,1116,387,781,570,723,760,477,1114,3083,1697,302
deepset/bert-large-uncased-whole-word-masking-squad2,3,1150,2438,751,978,1911,1508,988,1638,789,6809,1061,1331,931,784,787,397
huggingface/CodeBERTa-small-v1,25,535,749,377,346,605,680,6078,2846,0,1212,1199,931,1890,1556,3725,3548
aubmindlab/bert-base-arabertv02,80,681,1255,790,11165,1222,1107,1001,746,778,584,763,726,1190,1036,761,2819
sentence-transformers/distiluse-base-multilingual-cased-v2,159,1606,2143,2768,1814,1703,1032,1375,392,0,774,890,518,879,740,529,668
philschmid/bart-large-cnn-samsum,49,1481,921,899,1376,647,629,1756,934,0,1472,1008,1445,1105,1470,2120,1745
facebook/deit-base-distilled-patch16-224,24,1054,1174,216707,1036,952,1562,2066,790,203,966,1207,5455,475,666,241,409
google/mobilebert-uncased,38,709,985,940,654,905,2492,688,878,0,824,3931,803,1786,1213,5315,726
cardiffnlp/twitter-roberta-base,52,830,692,833,964,986,891,574,775,964,687,626,399,7046,1384,599,2591
funnel-transformer/small,11,148,123,225,139,89,162,204,166,0,226,48991,13307,167,667,380,231
castorini/afriberta_large,1,57,10145,2372,39142,25138,24,38,37,4,1,1,5,80,53,10,5
pdelobelle/robbert-v2-dutch-base,75,1414,659,1409,1116,607,441,1623,734,0,1049,822,590,666,598,976,1105
SEBIS/code_trans_t5_small_program_synthese_transfer_learning_finetune,2,1193,13539,6890,3262,471,502,681,193,43,58,74,174,184,115,120,43
sentence-transformers/paraphrase-mpnet-base-v2,140,1691,1747,266,303,411,2198,844,409,0,907,494,451,213,471,193,280
unc-nlp/lxmert-base-uncased,126,1286,1131,1169,1017,350,774,568,364,0,539,384,383,795,476,651,541
microsoft/mpnet-base,53,427,473,941,762,869,904,766,875,0,743,736,715,752,1189,522,435
dbmdz/bert-base-italian-cased,1,356,480,548,362,69532,58746,169,163,566,598,314,251,164,279,449,429
facebook/mbart-large-50-one-to-many-mmt,38,756,967,1155,617,564,992,1169,585,362,415,927,717,1159,199,481,610
DeepPavlov/rubert-base-cased-conversational,32,823,491,734,699,915,674,407,361,778,851,696,1216,572,520,764,511
facebook/dpr-reader-single-nq-base,3,1010,1160,275,299,138,624,958,3322,7988,131,137,137,186,153,36,44
sentence-transformers/distiluse-base-multilingual-cased,,67,26,87,25,33,370,1603,1409,0,1751,1249,525,311,30,119,57
jplu/tf-xlm-roberta-base,42,343,334,429,343,559,614,479,611,0,548,675,271,313,520,649,684
monologg/koelectra-small-v3-discriminator,5,1003,410,349,313,164,762,348,278,0,286,570,626,823,553,596,386
emilyalsentzer/Bio_Discharge_Summary_BERT,25,415,423,168,449,350,386,120,62,78,359,1256,640,215,728,608,407
nlpaueb/legal-bert-small-uncased,41,79,1745,844,1546,958,395,789,652,0,326,225,316,402,1050,194,176
avichr/heBERT_sentiment_analysis,48,255,307,352,673,918,1390,590,1088,450,108,261,439,262,113,2435,166
sentence-transformers/msmarco-distilbert-base-v4,2,173,87,480,205,245,1052,175,1778,0,363,5087,46,577,979,1259,231
hfl/chinese-electra-180g-base-discriminator,89,529,318,307,192,285,347,3173,1532,0,355,590,305,86,341,371,267
squeezebert/squeezebert-uncased,20,296,192,318,82,72,154,127,144,0,345,216,714,347,777,427,499
Hate-speech-CNERG/bert-base-uncased-hatexplain,106,188,68,137,218,305,498,600,294,432,110,33,157,204,197,56,93
jhgan/ko-sroberta-multitask,6,46,227,160,290,57,220,182,203,0,271,550,283,200,434,812,73
facebook/mbart-large-en-ro,26,252,133,202,159,117,140,202,237,153,178,205,291,326,318,285,204
google/reformer-crime-and-punishment,56,306,317,175,146,122,143,236,252,0,162,139,142,243,251,119,127
sentence-transformers/distilbert-base-nli-mean-tokens,3,175,24,66,123,16,90,123,414,0,141,91,132,67,113,118,68
cahya/t5-base-indonesian-summarization-cased,,51,41,51,101,76,111,115,65,161,156,212,59,31,97,105,6
smanjil/German-MedBERT,,49,68,9,62,54,7,24,62,0,74,28,49,28,75,64,32
asafaya/bert-mini-arabic,3,17,37,46,58,37,37,71,25,18,12,15,12,39,16,29,13
sentence-transformers/allenai-specter,,9,6,0,59,16,20,2,9,0,120,13,40,38,66,3,
