,model_name
23456,Helsinki-NLP/opus-mt-es-eu
746,Helsinki-NLP/opus-mt-fr-bi
18977,Helsinki-NLP/opus-mt-en-lue
23461,Helsinki-NLP/opus-mt-srn-es
752,Helsinki-NLP/opus-mt-fr-sl
755,Helsinki-NLP/opus-mt-id-fr
19992,Helsinki-NLP/opus-mt-ase-de
21843,Helsinki-NLP/opus-mt-en-chk
14258,Helsinki-NLP/opus-mt-sv-lue
11718,Helsinki-NLP/opus-mt-de-gil
28439,Helsinki-NLP/opus-mt-en-ng
28211,Helsinki-NLP/opus-mt-kj-en
3981,Helsinki-NLP/opus-mt-es-rw
134,Helsinki-NLP/opus-mt-luo-en
649,Helsinki-NLP/opus-mt-loz-sv
28443,Helsinki-NLP/opus-mt-fr-yo
28447,Helsinki-NLP/opus-mt-de-nso
28204,Helsinki-NLP/opus-mt-hu-sv
11801,Helsinki-NLP/opus-mt-el-fi
13215,Helsinki-NLP/opus-mt-sk-es
21854,Helsinki-NLP/opus-mt-gaa-en
13674,Helsinki-NLP/opus-mt-fi-ho
13218,Helsinki-NLP/opus-mt-af-sv
11783,Helsinki-NLP/opus-mt-fr-kwy
18743,Helsinki-NLP/opus-mt-sv-lu
11752,Helsinki-NLP/opus-mt-mfe-en
21849,Helsinki-NLP/opus-mt-ca-en
23345,Helsinki-NLP/opus-mt-en-ln
18740,Helsinki-NLP/opus-mt-en-tpi
23351,Helsinki-NLP/opus-mt-fr-ro
11733,Helsinki-NLP/opus-mt-sv-nl
19990,Helsinki-NLP/opus-mt-fr-kqn
11720,Helsinki-NLP/opus-mt-lv-sv
11719,Helsinki-NLP/opus-mt-sv-crs
22176,Helsinki-NLP/opus-mt-ko-fi
13027,Helsinki-NLP/opus-mt-pis-es
3925,Helsinki-NLP/opus-mt-en-ss
14093,Helsinki-NLP/opus-mt-ga-en
3458,Helsinki-NLP/opus-mt-fr-hr
17456,Helsinki-NLP/opus-mt-fi-ht
28562,Helsinki-NLP/opus-mt-de-pis
22025,Helsinki-NLP/opus-mt-is-de
12796,Helsinki-NLP/opus-mt-bg-fr
12803,Helsinki-NLP/opus-mt-sg-en
12817,Helsinki-NLP/opus-mt-ceb-fi
28343,Helsinki-NLP/opus-mt-es-xh
22013,Helsinki-NLP/opus-mt-fr-st
12513,Helsinki-NLP/opus-mt-es-ru
12510,Helsinki-NLP/opus-mt-nl-sv
19950,Helsinki-NLP/opus-mt-en-ee
12846,Helsinki-NLP/opus-mt-sv-bem
22652,Helsinki-NLP/opus-mt-ber-fr
30454,Helsinki-NLP/opus-mt-nl-fr
13799,Helsinki-NLP/opus-mt-af-en
22107,Helsinki-NLP/opus-mt-ee-fi
13964,Helsinki-NLP/opus-mt-en-sq
18862,Helsinki-NLP/opus-mt-fi-lus
17611,Helsinki-NLP/opus-mt-niu-es
22002,Helsinki-NLP/opus-mt-fr-ht
12471,Helsinki-NLP/opus-mt-fi-gaa
17595,Helsinki-NLP/opus-mt-pon-es
375,Helsinki-NLP/opus-mt-iso-fr
13925,Helsinki-NLP/opus-mt-fi-mg
13836,Helsinki-NLP/opus-mt-en-loz
22729,Helsinki-NLP/opus-mt-mk-en
22777,Helsinki-NLP/opus-mt-ro-fr
12690,Helsinki-NLP/opus-mt-bem-fr
3825,Helsinki-NLP/opus-mt-de-crs
12675,Helsinki-NLP/opus-mt-hr-fr
19937,Helsinki-NLP/opus-mt-fi-lg
30492,Helsinki-NLP/opus-mt-en-ga
22787,Helsinki-NLP/opus-mt-sv-chk
12712,Helsinki-NLP/opus-mt-fr-af
28308,Helsinki-NLP/opus-mt-bem-sv
